序號,地名,緯度,經度,座標文字,百分比X,百分比Y,Size
1,哈蘭,37.07677291,40.36109197,"37.0767729, 40.3610920",52.1389,25.5196,0
2,東方,32.54262844,37.67374403,"32.5426284, 37.6737440",41.7614,57.8125,0
3,多坍,32.03483688,34.93695017,"32.0348369, 34.9369502",31.1929,61.4291,0
4,雅博渡口,31.52828404,35.75775691,"31.5282840, 35.7577569",34.3626,65.0368,0
5,示劍,31.63013,35.18482387,"31.6301300, 35.1848239",32.1501,64.3115,0
6,疏割,31.6514687,35.59667684,"31.6514687, 35.5966768",33.7405,64.1595,0
7,基列山,32.05881406,36.19537656,"32.0588141, 36.1953766",36.0525,61.2583,0
8,伯特利,31.94,35.24,"31.9400000, 35.2400000",32.3632,62.1045,0
9,伊拿印,30.50158723,34.57322905,"30.5015872, 34.5732291",29.7884,72.3491,0
10,沙微谷,30.70993482,35.16924256,"30.7099348, 35.1692426",32.09,70.8652,0
11,摩利亞山,30.76869292,35.03231139,"30.7686929, 35.0323114",31.5612,70.4467,0
12,伯利恆,30.54562541,34.96763518,"30.5456254, 34.9676352",31.3114,72.0355,0
13,以得臺,30.47657552,35.08461941,"30.4765755, 35.0846194",31.7632,72.5273,0
14,希伯崙,30.29189276,34.93946813,"30.2918928, 34.9394681",31.2027,73.8426,0
15,別是巴,29.7149893,34.72693869,"29.7149893, 34.7269387",30.3819,77.9514,0
16,西訂谷,29.03695023,35.23119893,"29.0369502, 35.2311989",32.3292,82.7805,0
17,所多瑪,29.4240695,35.09390003,"29.4240695, 35.0939000",31.799,80.0234,0
18,基拉耳,29.85312086,33.71333492,"29.8531209, 33.7133349",26.4678,76.9676,0
19,瑣珥,29.26876135,35.15963345,"29.2687614, 35.1596335",32.0528,81.1295,0
20,歌珊,29.84965887,31.50052684,"29.8496589, 31.5005268",17.9228,76.9923,0
21,西珥山,28.16086684,36.0941104,"28.1608668, 36.0941104",35.6614,89.0201,0
22,庇耳·拉海·萊,28.98370327,34.12204599,"28.9837033, 34.1220460",28.0461,83.1597,0
23,安城,29.53168318,30.86880121,"29.5316832, 30.8688012",15.4833,79.2569,0
24,巴蘭,28.43474858,33.7602948,"28.4347486, 33.7602948",26.6491,87.0695,0
25,埃及,28.08710105,30.72768603,"28.0871011, 30.7276860",14.9384,89.5455,10
26,何把,33.34542614,36.02870323,"33.3454261, 36.0287032",35.4089,52.0949,0
27,吾珥,30.71641529,47.31737227,"30.7164153, 47.3173723",79.0013,70.8191,0
28,迦南,30.82410682,35.17243304,"30.8241068, 35.1724330",32.1023,70.0521,10
