序號,地名,緯度,經度,座標文字,百分比X,百分比Y
1,哈蘭,37.07677291280031,40.36109196853381,"37.0767729, 40.3610920",52.2463,25.6356
2,東方,33.19129809064779,41.6721010567951,"33.1912981, 41.6721011",57.3154,53.3199
3,多坍,32.03483688283841,34.9369501677875,"32.0348369, 34.9369502",31.2735,61.5597
4,雅博渡口,31.528284043832972,35.75775691070587,"31.5282840, 35.7577569",34.4472,65.1690
5,示劍,31.63013000311194,35.184823866554304,"31.6301300, 35.1848239",32.2319,64.4433
6,疏割,31.651468699702264,35.59667684425743,"31.6514687, 35.5966768",33.8243,64.2913
7,迦南東方,31.34031478834216,36.52316918764325,"31.3403148, 36.5231692",37.4067,66.5083
8,基列山,32.05881405555567,36.19537655531127,"32.0588141, 36.1953766",36.1392,61.3889
9,伯特利,31.94,35.24,"31.9400000, 35.2400000",32.4452,62.2355
10,伯特利下邊,30.417445997731505,34.93112147261172,"30.4174460, 34.9311215",31.2509,73.0837
11,伊拿印,30.501587230076275,34.57322905030489,"30.5015872, 34.5732291",29.8671,72.4842
12,沙微谷,30.709934823693963,35.16924256138928,"30.7099348, 35.1692426",32.1716,70.9997
13,摩利亞山,30.76869292299257,35.032311387821444,"30.7686929, 35.0323114",31.6422,70.5811
14,伯利恆,30.545625409929873,34.96763518162882,"30.5456254, 34.9676352",31.3921,72.1705
15,以得臺,30.476575524867897,35.08461941452202,"30.4765755, 35.0846194",31.8444,72.6624
16,希伯崙,30.208686821915197,34.85305911131258,"30.2086868, 34.8530591",30.9491,74.5712
17,別是巴,29.62926497197222,34.52566335493603,"29.6292650, 34.5256634",29.6832,78.6996
18,西訂谷,29.036950226002507,35.231198934056906,"29.0369502, 35.2311989",32.4112,82.9199
19,所多瑪,29.424069495680563,35.09390003361513,"29.4240695, 35.0939000",31.8803,80.1616
20,基拉耳,29.84244670447562,33.845580529532334,"29.8424467, 33.8455805",27.0536,77.1807
21,瑣珥,29.268761351138362,35.159633454570354,"29.2687614, 35.1596335",32.1345,81.2682
22,歌珊,29.849658873842248,31.500526835085097,"29.8496589, 31.5005268",17.9863,77.1293
23,西珥山,28.160866842766332,36.09411040404231,"28.1608668, 36.0941104",35.7477,89.1620
24,庇耳·拉海·萊,28.98206479172724,34.1968538681081,"28.9820648, 34.1968539",28.4118,83.3109
25,安城,29.531683182734795,30.868801214724073,"29.5316832, 30.8688012",15.5437,79.3949
26,巴蘭,28.434748584074576,33.76029480162086,"28.4347486, 33.7602948",26.7238,87.2106
27,埃及,28.087101051103353,30.727686026846566,"28.0871011, 30.7276860",14.9980,89.6876
28,何把,33.34542614314083,36.028703228575864,"33.3454261, 36.0287032",35.4948,52.2217
29,吾珥,30.716415291374155,47.317372274058144,"30.7164153, 47.3173723",79.1432,70.9536
