序號,地名,緯度,經度,座標文字,百分比X,百分比Y
1,多坍,32.57352300620657,35.20418288219748,"32.5735230, 35.2041829",59.9428,20.7535
2,雅博渡口,32.2025135246176,35.72126879388048,"32.2025135, 35.7212688",68.5715,32.5620
3,示劍,32.213,35.283,"32.2130000, 35.2830000",61.2580,32.2282
4,疏割,32.21368610439474,35.66862826241428,"32.2136861, 35.6686283",67.6931,32.2064
5,迦南東方,31.827628729883603,36.297203371008024,"31.8276287, 36.2972034",78.1823,44.4938
6,基列山,32.39426524883664,35.9078338171748,"32.3942652, 35.9078338",71.6848,26.4589
7,伯特利,31.94,35.24,"31.9400000, 35.2400000",60.5404,40.9172
8,伯特利下邊,31.9,35.23,"31.9000000, 35.2300000",60.3736,42.1904
9,伊拿印,31.718884423242,35.00221121285436,"31.7188844, 35.0022112",56.5724,47.9549
10,沙微谷,31.761217272129265,35.33351043292264,"31.7612173, 35.3335104",62.1009,46.6075
11,摩利亞山,31.778,35.235,"31.7780000, 35.2350000",60.4570,46.0734
12,伯利恆,31.705,35.2,"31.7050000, 35.2000000",59.8730,48.3968
13,以得臺,31.667185789145396,35.27223931944165,"31.6671858, 35.2722393",61.0784,49.6004
14,希伯崙,31.48676050038051,35.15098470926355,"31.4867605, 35.1509847",59.0550,55.3429
15,別是巴,31.252,34.791,"31.2520000, 34.7910000",53.0479,62.8149
16,西訂谷,30.917383630736456,35.511315237993806,"30.9173836, 35.5113152",65.0680,73.4650
17,所多瑪,31.037435613122227,35.45925498288885,"31.0374356, 35.4592550",64.1992,69.6440
18,基拉耳,31.210713452383345,34.465605277653985,"31.2107135, 34.4656053",47.6179,64.1289
19,瑣珥,31.00062150614001,35.502967592148075,"31.0006215, 35.5029676",64.9287,70.8157
20,歌珊,30.9,31.8,"30.9000000, 31.8000000",3.1363,74.0183
21,西珥山,30.578626259433815,35.88693152186428,"30.5786263, 35.8869315",71.3360,84.2470
22,庇耳·拉海·萊,30.8,34.8,"30.8000000, 34.8000000",53.1981,77.2011
